id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
"2021-1616057","2021-04-22","1","Vente","133900.0","8","None","IMP TRUILLOT","9489","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0014","None","None","68","11.55","None","nan","None","nan","None","None","None","None","1","2","Appartement","13.0","1","None","None","None","None","None","2.37449","48.860429","000BB"
"2021-1615905","2021-04-19","1","Vente","300000.0","72","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0009","None","None","46","27.35","70","nan","None","nan","None","None","None","None","2","2","Appartement","25.0","1","None","None","None","None","None","2.373831","48.861192","000BB"
"2021-1615425","2021-03-17","1","Vente","456150.0","13","None","IMP TRUILLOT","9489","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0025","None","None","10","27.05","None","nan","None","nan","None","None","None","None","1","2","Appartement","24.0","1","None","None","None","None","None","2.374559","48.860212","000BB"
"2021-1615546","2021-03-10","1","Vente","604220.0","15","None","RUE DE L ASILE POPINCOURT","0497","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0020","None","None","16","44.75","18","nan","None","nan","None","None","None","None","2","2","Appartement","44.0","2","None","None","None","None","None","2.375294","48.860171","000BB"
"2021-1615650","2021-03-09","1","Vente","40000.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","441","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373846","48.860916","000BB"
"2021-1615650","2021-03-09","1","Vente","40000.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","442","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373846","48.860916","000BB"
"2021-1614949","2021-02-12","1","Vente","1090000.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","403","90.08","404","nan","412","nan","None","None","None","None","3","2","Appartement","89.0","4","None","None","None","None","None","2.373846","48.860916","000BB"
"2021-1614794","2021-01-28","1","Vente","863000.0","76","None","BD RICHARD LENOIR","8208","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0041","None","None","28","nan","42","81.08","None","nan","None","None","None","None","2","2","Appartement","81.0","4","None","None","None","None","None","2.373159","48.861116","000BB"
"2021-1614794","2021-01-28","1","Vente","863000.0","76","None","BD RICHARD LENOIR","8208","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0041","None","None","103","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373159","48.861116","000BB"
"2021-1614664","2021-01-08","1","Vente","537480.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","517","nan","None","nan","None","nan","None","None","None","None","1","2","Appartement","47.0","2","None","None","None","None","None","2.373846","48.860916","000BB"
